state,x,y
Andaman Nicobar,246,-271
Andhra Pradesh,-90,-205
Arunachal Pradesh,284,130
Assam,232,78
Bihar,67,62
Chandigarh,-131,194
Chhattisgarh,-29,-44
Delhi,-126,139
Goa,-198,-199
Gujarat,-271,-7
Haryana,-161,158
Himachal Pradesh,-144,240
Jammu Kashmir,-176,306
Jharkhand,37,15
Karnataka,-182,-228
Kerala,-147,-314
Madhya Pradesh,-139,-11
Maharashtra,-192,-113
Manipur,271,33
Meghalaya,185,53
Mizoram,247,-7
Nagaland,284,72
Lakshadweep,-238,-327
Odisha,58,-65
Puducherry,-63,-283
Punjab,-172,209
Rajasthan,-264,88
Sikkim,142,117
Tamil Nadu,-120,-302
Telangana,-104,-142
Tripura,214,11
Uttar Pradesh,-70,90
Uttarakhand,-101,176
West Bengal,107,-5
