product url,product name,product price,rating,number of reviews,asin,description,manufacturer,product description
https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06553203U32ND3Q3ZGH2&url=%2FSwiss-Military-Laptop-Backpack-Canvas%2Fdp%2FB09T9NS7SB%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1653393323%26sr%3D8-1-spons%26psc%3D1%26smid%3DA3JA2JVB1Z1RQ&qualifier=1653393323&id=3777697109448023&widgetName=sp_atf,Swiss Military Multi Utility Backpack with USB Charging Port - LBP89 and Combo Offers  ,2686,2.7,5,B09T9NS7SB,"Care Instructions: Wipe with Dry ClothPRODUCT 1:- Material: 100% Polyester Melange with PU, Capacity: 29.L Approx. Size: 47x32x19(cm) Approx.PRODUCT 1:- Cushion Handle, Utility Pocket For Mobile & Power Bank, Quick Access PocketPRODUCT 1:- 2 Side Pocket Cum Bottle Holder, Separate Compartment For Files & Organiser PocketPRODUCT 2:- Solid 16 oz canvas with PU reinforced trims Ideal for travel / leisure with compact storagePRODUCT 2:- 2.2L Approx. storage capacity",Swiss Military,"Swiss Military Combo Pack of Laptop Backpack with Canvas Beige Sling Bag (LBP89+CAN3)PRODUCT 1:- Material: 100% Polyester Melange with PU, Capacity: 29.L Approx. Size: 47x32x19(cm) Approx.PRODUCT 1:- Cushion Handle, Utility Pocket For Mobile & Power Bank, Quick Access PocketPRODUCT 1:- 2 Side Pocket Cum Bottle Holder, Separate Compartment For Files & Organiser PocketPRODUCT 2:- Solid 16 oz canvas with PU reinforced trims Ideal for travel / leisure with compact storagePRODUCT 2:- 2.2L Approx. storage capacity"
https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03426413RU7EXRFMO997&url=%2FSwiss-Military-Laptop-Backpack-Sports%2Fdp%2FB092JFQCBY%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1653393323%26sr%3D8-2-spons%26psc%3D1&qualifier=1653393323&id=3777697109448023&widgetName=sp_atf,Swiss Military Grey and Black Laptop Bag (LBP40) with Combo Pack Option Swiss Military  ,1777,3.8,154,B092JFQCBY,,Swiss Military,"SWISS MILITARY PRESENTS:- Grey and Black Laptop Backpack | Separate Compartment to Keep Files & Folders | Padded Adjustable Shoulder Straps & Quick Access PocketsEASY ACCESS POINTSkip the struggle of accessing your immediate essentials with the quick access point. Easy access to wallets, keys, and anything else you need on the go.EVA IS BACK FOR EXTRA COMFORTEVA Back For extra comfort with airflow system. Ultra-premium laptop backpack with EVA foam is hardback for sweat-resistant all-day wearing comfort.PADDED COMPARTMENTPadded compartment with an elastic band to keep up to widescreen 15.6” laptop & iPad.CARRYING HANDLECarry heavy things without worrying about the breakage of carrying a handle, with attached top-quality rubber case over the handle to keep your hands unharmed.EASY ACCESS POCKETThe right shoulder straps come with an easy-to-access pocket for your small accessories."
https://www.amazon.in//gp/bestsellers/luggage/ref=sr_bs_2_luggage_1,American Tourister Casual Backpack  ,999,4.0,16724,B07CJCGM1M,,,
https://www.amazon.in//GlobalNiche%C2%AE-Waterproof-Backpack-Rucksack-Camping/dp/B0B1D2P8FW/ref=sr_1_omk_4?keywords=bags&qid=1653393323&sr=8-4,"GlobalNiche® Waterproof 15"" Laptop School Backpack Travel Nylon Rucksack Camping Bag Satchel  ",47949,5.0,1,B0B1D2P8FW,,,
https://www.amazon.in//Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_5?keywords=bags&qid=1653393323&smid=A3RXEJKPWRVCLY&sr=8-5,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty  ,899,3.9,6089,B08YZ8FFBZ,,,
https://www.amazon.in//Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_6?keywords=bags&qid=1653393323&smid=A1UVZJ9N7FK5G6&sr=8-6,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy)  ,629,3.9,9735,B085MHDJ93,,,
https://www.amazon.in//SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_7?keywords=bags&qid=1653393323&sr=8-7,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB)  ,299,4.0,13360,B07Q7CNPMV,"Outer Material: Polyester, Color: Sea BlueNot water resistant. With Rain Cover:NoCapacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)Number of compartments: 2; Laptop Compatibility: NoAge Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility PocketDrawstring, 2 Compartments, Compact Size",Safari Industries (India) Ltd,"Be it your short trips or your daily travel across the city, daypack has got you covered. With a 15 litre capacity daypack lets you carry your wallet, umbrella, kerchief, keys, earphones, Notepad, pens and other Essentials. The drawstring compartment lets you dump things that you pick up on your way. Compact Size and 2 Compartment."
https://www.amazon.in//TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_8?keywords=bags&qid=1653393323&sr=8-8,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )  ",689,3.9,218,B09QJ7ZF2Y,"➧ Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.Style Name: Traditional Backpacks; Pocket Description: Utility Pocket➧ PREMIUM MATERIAL: Made from high quality, waterproof Polyester material in grey color. Premium quality smooth zippers, pullers, buckles.Highly Water Resistant Material: This Backpack is water-resistant. The material is the reversed side of 1680D special polyester, which is waterproof, tear-resistant, anti-scratch and built for lasting durability.",Safari Industries (India) Ltd,"Product description Features: Made of durable and Eco-friendly water resistant oxford textile fabric, keep your laptop dry from small rain. Built-in well padded laptop sleeve with elastic velcro strap closure. Soft air permeability padded back cushion shoulder straps make it light and make you all day comfortable. Multiple compartments allow you to keep all of your stuffs secure and organized. Night vision reflective design, which keeps you safe while bicycling at night. A anti-theft zipped pocket for your valuables. This laptop bag can used for daily walk-around, work, school, day trips, vacation, travel, day hikes ,camping etc. What you can put in this laptop backpack? - You can put 2-3 clothes, A4 books, 15.6"" laptop, i-pad, glasses, wallet, keys, earphone, power bank, camera, cell phone and document in the back pack. - You Get What You pay for! Don't compare with cheaply made, Considering the high quality of the material, components, finishing and overall design it is exceptional value for money."
https://www.amazon.in//Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_9?keywords=bags&qid=1653393323&sr=8-9,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port  ",499,3.9,8151,B07J46KLFP,,,
https://www.amazon.in//Northzone-Polyester-School-Backpack-Compartment/dp/B08678P2T7/ref=ice_ac_b_dpb?keywords=bags&qid=1653393323&sr=8-10,Northzone Lightweight School Bags Backpacks for Boys Girls Stylish Men and Women Casual Travel Laptop Bag College Office (Navy Blue) 40L  ,593,4.1,2819,B08678P2T7,"COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g; HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important itemsCONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day useCONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.; Pattern Name: Solid; Closure Type: Zipper; Age Range Description: Kid; Pocket Description: Utility Pocket",Northzone,"NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily."
