Product Name,Product Link,Product_Description,Product Comment,Product Review,Product Upvotes
Slack,https://www.producthunt.com/products/slack#slack,"Be less busy. Real-time messaging, archiving & search.",301,101 reviews,"18,007"
Startup Pitch Decks,https://www.producthunt.com/products/attach#startup-pitch-decks,Real decks from real startups that raised over $400M,155,14 reviews,"11,408"
remove.bg,https://www.producthunt.com/products/remove-bg#remove-bg,Remove the background of any image 100% automatically,436,82 reviews,"17,346"
Notion 2.0,https://www.producthunt.com/products/notion#notion-2-0,"The all-in-one workspace - notes, tasks, wikis, & databases",321,118 reviews,"8,741"
Coda,https://www.producthunt.com/products/coda#coda,It's a new day for docs.,173,31 reviews,"5,942"
Polymail,https://www.producthunt.com/products/polymail#polymail-2,"A simple, beautiful, and powerful email client for Mac",738,12 reviews,"5,696"
Bubble,https://www.producthunt.com/products/bubble#bubble-3,Build a fully functional web app without any code,151,12 reviews,"5,528"
Humaaans,https://www.producthunt.com/products/humaaans#humaaans,Mix-&-match illustrations of humans with a design library.,152,16 reviews,"5,597"
Open Peeps,https://www.producthunt.com/products/open-peeps#open-peeps,A hand-drawn illustration library.,183,17 reviews,"5,261"
HEY,https://www.producthunt.com/products/hey#hey-62dbfc18-c745-4d86-9a5b-a23a1f4d9eb3,"Email at its best, new from Basecamp",253,31 reviews,"4,873"
CheatSheet,https://www.producthunt.com/products/media-atelier#cheatsheet-2,View Mac keyboard shortcuts in the current application,74,4 reviews,"4,351"
Google Duplex,https://www.producthunt.com/products/google#google-duplex,An AI assisstant that can talk on the phone 🤖,104,11 reviews,"4,495"
Buy Me a Coffee,https://www.producthunt.com/products/buy-me-a-coffee#buy-me-a-coffee,"A simple, meaningful way to fund your creativity.",377,42 reviews,"4,726"
Brain.fm,https://www.producthunt.com/products/brain-fm#brain-fm,"Music for the brain to improve focus, meditation & sleep",172,13 reviews,"4,436"
WhatRuns,https://www.producthunt.com/products/whatruns#whatruns,Discover what runs a website in one click  🖥️ 🔍,154,10 reviews,"4,864"
Blush,https://www.producthunt.com/products/blush#blush-3,Illustrations for everyone,166,15 reviews,"4,607"
Trello,https://www.producthunt.com/products/trello#trello-66,"Powering millions of teams to work smarter, together.",131,52 reviews,"4,844"
mmhmm,https://www.producthunt.com/products/mmhmm#mmhmm,Bring yourself and your personality into your video chats,195,28 reviews,"4,061"
MAKE Book: The Indie Maker Handbook,https://www.producthunt.com/products/make-bootstrappers-handbook#make-book-the-indie-maker-handbook,Learn to build profitable startups the indie way,124,15 reviews,"4,223"
Witeboard,https://www.producthunt.com/products/witeboard#witeboard,A real-time whiteboard for your team. No signups required.,95,14 reviews,"3,934"
Spark for Mac,https://www.producthunt.com/products/printer-pro-by-readdle#spark-for-mac,Beautiful and intelligent email app,206,8 reviews,"4,018"
Slack Beta,https://www.producthunt.com/products/slack#slack-beta,A faster and nicer Slack built on Electron,97,1 review,"4,041"
